application_id,skill_match_score,experience_gap,skill_coverage_ratio,gpa_normalized,projects_normalized,internships_normalized,hackathons_normalized,research_normalized,certification_gap,education_match,specialization_match,seniority_match,leadership_experience,fit_score,fit_label
A000054,0.25,0.7132867,0.1537657,0.945,0.625,0.25,0.2,0.0,0.5,0.0,0.0,0.0,0.0,57.83,1
A000055,0.125,0.27272728,0.7693515,0.155,0.875,0.25,0.4,0.3333,0.25,1.0,0.0,1.0,1.0,39.8,0
A000056,0.125,0.44755244,0.7693515,0.91,0.375,0.5,0.2,0.3333,0.0,0.0,0.0,0.0,0.0,44.85,0
A000057,0.375,0.28671327,0.92311716,0.545,1.0,0.5,0.4,0.0,0.0,1.0,0.0,1.0,0.0,51.57,1
A000058,0.0,0.7832168,0.38493723,0.85,0.5,1.0,0.4,0.6667,1.0,1.0,0.0,0.0,0.0,58.0,1
A000059,0.25,0.37062937,1.0,0.725,0.0,0.75,0.0,0.0,0.5,1.0,0.0,1.0,0.0,62.0,1
A000060,0.0,0.5034965,0.4618201,0.96,0.25,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.85,0
A000061,0.0,0.7062937,0.23064853,0.115,0.375,0.0,0.4,0.0,0.25,1.0,0.0,0.0,1.0,42.02,0
A000062,0.0,0.4125874,0.61558574,0.82,0.125,0.5,0.8,0.6667,0.0,1.0,0.0,0.0,0.0,45.82,0
A000063,0.0,0.53846157,0.38493723,0.74,0.375,0.5,0.2,0.0,0.5,1.0,1.0,0.0,1.0,57.28,1
A000064,0.125,0.26573426,1.0,0.105,0.375,0.25,0.2,0.0,0.5,1.0,0.0,1.0,1.0,40.3,0
A000065,0.125,0.61538464,0.4618201,0.755,0.625,0.5,0.4,0.0,0.5,1.0,0.0,0.0,0.0,60.05,1
A000066,0.125,0.2937063,0.1537657,0.0,0.5,0.5,0.4,0.3333,0.0,1.0,0.0,1.0,1.0,35.88,0
A000067,0.125,0.30769232,0.4618201,0.76,0.625,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,44.1,0
A000068,0.25,0.3006993,0.61558574,0.665,0.125,0.5,0.4,0.0,0.25,1.0,0.0,1.0,0.0,50.02,1
A000069,0.0,0.23076923,0.38493723,0.72,0.875,0.5,0.2,0.6667,1.0,0.0,0.0,1.0,1.0,35.58,0
A000070,0.25,0.57342654,0.8462343,0.435,0.875,0.0,0.4,0.3333,0.75,1.0,0.0,0.0,1.0,60.47,1
A000071,0.0,0.25874126,0.0,0.835,0.875,0.0,0.4,0.3333,0.0,1.0,1.0,1.0,1.0,39.23,0
A000072,0.25,0.4965035,0.38493723,0.875,0.375,0.25,0.4,0.0,0.25,1.0,1.0,0.0,1.0,62.38,1
A000073,0.0,0.62237763,0.69246864,0.325,0.375,0.0,0.2,0.0,0.25,1.0,0.0,0.0,1.0,44.12,0
A000074,0.25,0.36363637,0.5387029,0.615,0.5,0.5,0.2,0.0,0.0,1.0,1.0,1.0,0.0,57.4,1
A000075,0.25,0.74825174,1.0,0.89,0.25,0.25,0.2,0.3333,0.25,1.0,0.0,0.0,1.0,58.9,1
A000076,0.0,0.46853146,0.8462343,0.545,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,1.0,41.95,0
A000077,0.25,0.24475524,0.5387029,0.14,0.5,0.25,0.4,1.0,0.0,1.0,0.0,1.0,0.0,36.15,1
A000078,0.0,0.7132867,0.38493723,0.125,0.25,0.75,0.4,0.0,0.75,1.0,0.0,0.0,1.0,48.5,0
A000079,0.25,0.61538464,0.38493723,0.52,0.125,0.75,0.4,0.0,0.0,1.0,0.0,0.0,1.0,52.57,1
A000080,0.0,0.5874126,0.07688285,0.875,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.75,0
A000081,0.375,0.35664335,0.61558574,0.12,0.5,0.25,0.0,0.0,0.25,1.0,0.0,1.0,0.0,56.83,0
A000082,0.375,0.6573427,0.38493723,0.265,0.125,1.0,0.2,0.0,0.5,1.0,0.0,0.0,0.0,63.4,1
A000083,0.0,0.48251748,0.07688285,0.435,0.375,0.5,0.2,0.6667,0.0,1.0,0.0,0.0,1.0,43.22,0
A000084,0.0,0.27972028,0.4618201,0.86,0.625,0.75,0.2,0.0,0.25,1.0,0.0,1.0,0.0,43.73,0
A000085,0.0,0.42657343,0.5387029,0.015,0.875,0.5,0.0,0.3333,0.75,1.0,0.0,0.0,1.0,49.53,0
A000086,0.125,0.62237763,0.38493723,0.965,0.375,0.0,0.2,1.0,0.75,1.0,0.0,0.0,0.0,58.9,1
A000087,0.125,0.23776224,0.69246864,0.05,0.125,0.5,0.8,0.0,0.25,1.0,0.0,1.0,1.0,33.5,0
A000088,0.25,0.6993007,0.38493723,0.465,0.25,0.25,0.2,0.3333,0.0,1.0,0.0,0.0,1.0,50.65,1
A000089,0.25,0.74825174,0.69246864,0.11,1.0,0.5,0.4,0.3333,0.0,1.0,0.0,0.0,1.0,51.85,0
A000090,0.25,0.44755244,0.8462343,0.99,0.125,0.75,0.0,0.3333,0.25,1.0,0.0,0.0,1.0,61.27,1
A000091,0.25,0.23776224,1.0,0.585,0.25,0.25,0.4,0.0,0.75,1.0,0.0,1.0,1.0,46.85,0
A000092,0.125,0.44755244,0.1537657,0.155,0.375,0.25,0.4,0.0,0.0,1.0,0.0,0.0,0.0,43.8,0
A000093,0.25,0.30769232,0.7693515,0.99,0.25,0.75,0.4,0.0,0.0,1.0,0.0,1.0,0.0,51.9,0
A000094,0.25,0.44755244,0.8462343,0.26,0.375,0.25,0.2,0.0,0.25,1.0,0.0,0.0,1.0,53.23,1
A000095,0.125,0.6433566,0.69246864,0.88,0.375,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,58.05,1
A000096,0.0,0.34965035,0.3080544,0.065,0.375,0.5,0.6,0.0,0.25,1.0,0.0,1.0,0.0,43.52,0
A000097,0.0,0.3986014,0.7693515,0.88,0.5,0.25,0.0,0.0,0.25,1.0,0.0,0.0,1.0,51.3,0
A000098,0.25,0.6993007,1.0,0.925,0.375,0.25,0.2,0.6667,0.0,0.0,0.0,0.0,1.0,48.38,0
A000099,0.0,0.7622378,0.38493723,0.07,0.0,0.5,0.4,0.0,0.0,1.0,0.0,0.0,0.0,37.7,0
A000100,0.125,0.6923077,0.8462343,0.09,1.0,0.5,1.0,0.3333,0.0,1.0,0.0,0.0,1.0,47.28,0
A000101,0.0909,0.4055944,0.4618201,0.29,0.875,0.75,0.2,0.6667,0.25,1.0,0.0,1.0,0.0,52.46,1
A000102,0.3636,0.30769232,0.7693515,0.15,0.375,0.25,0.6,0.0,0.5,1.0,1.0,1.0,1.0,57.1,0
A000103,0.0,0.41958043,0.07688285,0.02,0.375,0.5,0.4,0.0,0.0,1.0,0.0,1.0,0.0,39.07,0
A000104,0.0909,0.1958042,0.1537657,0.645,0.25,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,39.88,1
A000105,0.0909,0.16083916,0.1537657,0.295,0.125,0.75,1.0,0.3333,0.0,1.0,0.0,0.0,1.0,26.26,0
A000106,0.0909,0.34265736,1.0,0.88,0.5,1.0,0.6,0.0,0.25,1.0,0.0,1.0,0.0,56.48,1
A000107,0.0909,0.44055945,0.3080544,0.505,0.375,0.5,0.0,0.6667,0.25,1.0,0.0,1.0,0.0,51.11,0
A000108,0.0,0.42657343,0.07688285,0.44,0.375,0.25,0.0,0.3333,0.25,0.0,0.0,1.0,0.0,38.77,1
A000109,0.0909,0.43356642,0.0,0.4,0.5,0.25,0.8,0.0,0.25,1.0,0.0,1.0,1.0,49.68,1
A000110,0.1818,0.41958043,0.7693515,0.7,0.375,0.0,0.2,0.0,0.25,1.0,0.0,1.0,0.0,54.24,1
A000111,0.3636,0.44055945,0.8462343,0.46,0.625,0.5,0.4,1.0,1.0,1.0,0.0,1.0,0.0,65.45,1
A000112,0.1818,0.6013986,0.5387029,0.735,0.25,0.5,0.0,0.3333,0.5,0.0,0.0,0.0,0.0,44.96,0
A000113,0.0909,0.27272728,0.07688285,0.055,0.125,0.25,0.6,0.0,0.75,1.0,0.0,0.0,0.0,37.86,0
A000114,0.0909,0.3986014,0.3080544,0.025,0.5,0.25,0.4,0.3333,0.25,1.0,1.0,1.0,0.0,48.93,0
A000115,0.3636,0.4965035,0.61558574,0.69,0.5,0.0,0.6,0.0,0.0,1.0,0.0,1.0,0.0,57.13,1
A000116,0.0,0.21678321,0.4618201,0.575,0.375,0.5,1.0,0.0,0.75,1.0,0.0,0.0,1.0,38.12,0
A000117,0.2727,0.3216783,0.5387029,0.4,0.5,0.0,0.4,0.0,0.5,1.0,0.0,1.0,0.0,55.05,1
A000118,0.2727,0.44755244,0.92311716,0.345,0.375,0.0,0.4,0.0,0.25,1.0,0.0,1.0,1.0,53.87,1
A000119,0.0909,0.44055945,0.4618201,0.975,0.625,0.0,0.0,0.0,0.25,1.0,0.0,1.0,1.0,55.06,1
A000120,0.1818,0.54545456,0.5387029,0.46,0.375,0.25,0.6,0.0,0.5,1.0,0.0,0.0,1.0,56.84,0
A000121,0.0909,0.6363636,0.07688285,0.435,0.25,0.0,0.6,0.0,0.0,1.0,0.0,0.0,1.0,43.78,0
A000122,0.0909,0.5314685,0.38493723,0.475,0.375,0.25,0.0,0.0,0.5,1.0,0.0,0.0,1.0,53.81,1
A000123,0.2727,0.44755244,0.7693515,0.225,0.5,0.75,0.6,0.0,0.0,1.0,0.0,1.0,0.0,52.3,1
A000124,0.2727,0.37762237,0.38493723,0.72,0.625,0.25,0.2,0.0,0.75,1.0,0.0,1.0,0.0,63.87,1
A000125,0.1818,0.55944055,0.92311716,0.51,1.0,1.0,0.2,0.0,0.5,1.0,0.0,0.0,1.0,63.46,1
A000126,0.2727,0.37062937,0.69246864,0.785,0.25,0.75,0.2,0.0,0.25,1.0,0.0,1.0,1.0,60.65,1
A000127,0.0909,0.16083916,0.38493723,0.525,0.25,0.5,0.6,0.3333,1.0,1.0,0.0,0.0,1.0,36.18,0
A000128,0.1818,0.30769232,0.5387029,0.56,0.125,0.25,0.2,0.3333,0.25,1.0,0.0,1.0,1.0,46.59,0
A000129,0.2727,0.6993007,0.8462343,0.71,1.0,0.25,0.0,0.6667,0.5,1.0,0.0,0.0,0.0,65.65,1
A000130,0.1818,0.27972028,0.1537657,0.765,0.125,0.0,0.8,0.0,0.75,1.0,0.0,0.0,1.0,47.64,0
A000131,0.2727,0.6013986,0.4618201,0.455,0.5,0.5,0.8,0.0,0.75,1.0,0.0,0.0,0.0,61.6,1
A000132,0.3636,0.3146853,1.0,0.73,0.875,0.0,0.4,1.0,0.25,1.0,0.0,1.0,0.0,58.4,0
A000133,0.1818,0.4755245,1.0,0.855,0.25,0.75,0.2,1.0,0.5,1.0,0.0,1.0,0.0,62.16,1
A000134,0.1818,0.23776224,0.61558574,0.74,0.375,0.0,0.2,0.3333,1.0,1.0,0.0,0.0,0.0,45.64,0
A000135,0.0909,0.30769232,0.7693515,0.565,0.375,0.75,0.6,1.0,0.5,1.0,0.0,1.0,1.0,50.71,1
A000136,0.0,0.6993007,0.0,0.465,0.375,0.25,0.2,0.3333,0.0,1.0,0.0,0.0,1.0,42.52,1
A000137,0.0909,0.27972028,0.38493723,0.4,0.125,0.0,0.8,0.0,0.25,1.0,0.0,0.0,1.0,36.81,0
A000138,0.2727,0.1958042,0.8462343,0.005,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.85,0
A000139,0.0,0.67832166,0.3080544,0.605,0.75,0.25,0.6,0.6667,0.5,0.0,0.0,0.0,0.0,38.8,0
A000140,0.0,0.45454547,0.07688285,0.38,0.375,0.0,0.4,0.3333,0.0,1.0,0.0,1.0,0.0,40.67,0
A000141,0.2727,0.25874126,1.0,0.895,1.0,0.5,0.2,0.0,0.0,1.0,0.0,0.0,0.0,49.0,0
A000142,0.1818,0.5244755,0.8462343,0.59,0.625,0.0,0.0,0.0,0.25,1.0,1.0,0.0,1.0,57.39,1
A000143,0.0909,0.62237763,0.4618201,0.355,0.125,0.25,0.4,0.6667,0.25,1.0,0.0,0.0,0.0,47.36,0
A000144,0.2727,0.1958042,0.23064853,0.615,0.875,0.25,0.4,0.0,0.75,1.0,0.0,0.0,0.0,48.07,0
A000145,0.1818,0.34965035,0.69246864,0.12,0.25,0.25,0.4,0.3333,0.0,1.0,0.0,1.0,0.0,44.81,1
A000146,0.0909,0.41958043,0.38493723,0.875,0.375,0.25,0.4,0.0,0.25,1.0,0.0,1.0,1.0,53.81,1
A000147,0.2727,0.6923077,1.0,0.185,0.5,1.0,0.4,0.3333,0.0,1.0,0.0,0.0,0.0,52.9,1
A000148,0.0909,0.30769232,0.5387029,0.615,0.375,0.5,0.2,0.0,0.75,1.0,0.0,1.0,0.0,50.21,1
A000149,0.1818,0.4965035,0.1537657,0.195,0.375,0.5,0.2,0.3333,0.25,1.0,0.0,1.0,0.0,51.19,1
A000150,0.2727,0.23776224,0.5387029,0.105,0.5,1.0,0.4,0.3333,0.5,1.0,0.0,0.0,1.0,47.1,0
A000151,0.2727,0.3146853,0.92311716,0.76,0.125,0.25,0.2,0.0,0.0,1.0,0.0,1.0,0.0,48.77,0
A000152,0.2727,0.2027972,0.4618201,0.86,0.625,0.75,0.2,0.0,0.25,1.0,0.0,0.0,0.0,47.77,0
A000153,0.0909,0.5174825,0.23064853,0.595,0.375,0.25,0.4,0.6667,0.5,1.0,1.0,0.0,0.0,58.01,1
A000154,0.0,0.21678321,0.8462343,0.435,0.5,0.5,0.2,0.0,0.0,1.0,0.0,0.0,1.0,29.35,0
A000155,0.0909,0.16783217,0.23064853,0.305,0.125,0.25,0.2,0.0,0.0,1.0,0.0,0.0,1.0,24.86,0
A000156,0.0,0.16083916,0.38493723,0.065,0.625,0.25,0.6,0.0,0.5,1.0,0.0,0.0,1.0,29.28,0
A000157,0.2727,0.44055945,0.61558574,0.49,0.625,1.0,0.2,1.0,0.25,1.0,0.0,1.0,1.0,60.57,1
A000158,0.0909,0.23776224,0.23064853,0.95,0.75,0.25,0.4,0.3333,1.0,1.0,1.0,0.0,0.0,50.43,1
A000159,0.3636,0.55944055,0.5387029,0.825,0.25,0.5,0.2,0.3333,0.0,1.0,0.0,0.0,1.0,59.23,1
A000160,0.2727,0.2937063,0.7693515,0.34,0.875,0.0,0.4,0.6667,0.0,1.0,1.0,1.0,0.0,47.32,0
A000161,0.0909,0.1958042,0.92311716,0.39,0.5,0.0,0.4,0.0,0.5,1.0,0.0,0.0,0.0,36.58,0
A000162,0.1818,0.7062937,0.5387029,0.765,0.125,0.25,0.2,1.0,0.5,1.0,0.0,0.0,1.0,58.64,1
A000163,0.3636,0.46853146,0.8462343,0.29,0.5,0.5,0.0,0.0,0.25,1.0,0.0,1.0,0.0,59.13,1
A000164,0.0,0.54545456,0.1537657,0.96,0.75,0.0,0.6,0.6667,0.5,0.0,0.0,0.0,0.0,48.85,0
A000165,0.0,0.6083916,0.07688285,0.765,0.5,1.0,0.0,0.3333,0.25,0.0,0.0,0.0,1.0,45.65,0
A000166,0.2727,0.53846157,0.61558574,0.305,0.5,0.5,0.0,0.0,0.5,1.0,0.0,0.0,1.0,60.1,1
A000167,0.2727,0.3846154,0.8462343,0.945,0.375,0.5,0.2,0.0,0.25,1.0,0.0,1.0,1.0,61.87,1
A000168,0.0,0.34265736,0.38493723,0.595,0.75,0.0,0.6,0.0,0.25,1.0,0.0,1.0,0.0,47.7,0
A000169,0.0909,0.25174826,0.0,0.065,0.375,0.25,0.4,0.0,0.25,0.0,0.0,0.0,0.0,18.71,0
A000170,0.0909,0.23076923,0.38493723,0.925,0.0,0.0,0.4,0.0,0.75,1.0,0.0,0.0,0.0,41.93,0
A000171,0.1818,0.5174825,0.7693515,0.02,0.75,0.0,0.6,0.0,0.0,1.0,0.0,0.0,1.0,45.31,0
A000172,0.0909,0.21678321,0.0,0.43,0.0,0.5,0.2,0.0,0.25,0.0,0.0,0.0,0.0,26.48,0
A000173,0.0909,0.44755244,0.5387029,0.29,0.375,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,46.96,0
A000174,0.0909,0.48951048,0.3080544,0.075,0.25,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.18,0
A000175,0.0,0.5804196,0.07688285,0.25,0.625,0.5,0.4,0.3333,0.25,1.0,1.0,0.0,0.0,49.62,0
A000176,0.1818,0.36363637,0.92311716,0.155,0.125,1.0,0.4,0.0,0.25,1.0,0.0,1.0,1.0,51.54,1
A000177,0.1818,0.43356642,1.0,0.94,0.0,0.75,0.8,1.0,0.0,1.0,0.0,1.0,0.0,53.76,1
A000178,0.1818,0.6293706,0.5387029,0.125,0.875,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,50.99,1
A000179,0.1818,0.46153846,0.3080544,0.655,0.75,0.25,0.2,0.3333,0.0,1.0,0.0,1.0,1.0,52.66,1
A000180,0.0,0.55944055,0.23064853,0.115,0.125,0.0,0.4,0.0,1.0,1.0,0.0,0.0,1.0,44.77,0
A000181,0.0,0.3846154,0.0,0.13,0.5,0.25,0.4,0.6667,0.0,1.0,0.0,1.0,0.0,39.8,0
A000182,0.0909,0.34265736,0.38493723,0.71,0.125,0.0,0.0,0.0,0.25,1.0,0.0,1.0,1.0,48.91,0
A000183,0.1818,0.54545456,0.92311716,0.25,0.25,0.5,0.8,0.0,1.0,1.0,0.0,0.0,0.0,55.11,1
A000184,0.0909,0.53846157,0.38493723,0.1,0.625,0.5,0.6,0.0,0.25,1.0,0.0,0.0,1.0,48.31,0
A000185,0.0909,0.24475524,0.61558574,0.04,0.375,0.5,0.2,0.0,0.25,1.0,0.0,0.0,0.0,33.96,0
A000186,0.0,0.6293706,0.1537657,0.655,0.625,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.67,0
A000187,0.0909,0.6573427,0.1537657,0.66,0.5,0.25,0.6,0.3333,0.25,0.0,1.0,0.0,0.0,40.28,0
A000188,0.1818,0.48951048,1.0,0.105,0.25,1.0,0.0,0.3333,1.0,1.0,0.0,1.0,0.0,55.66,1
A000189,0.1818,0.36363637,0.4618201,0.64,0.25,0.5,0.6,0.0,0.25,1.0,0.0,1.0,0.0,55.01,1
A000190,0.0909,0.3916084,0.8462343,0.545,0.0,0.25,0.0,0.0,0.5,0.0,0.0,1.0,1.0,45.13,0
A000191,0.0,0.62237763,0.0,0.145,0.5,0.5,0.2,0.3333,0.5,1.0,0.0,0.0,0.0,48.95,0
A000192,0.4545,0.48251748,0.8462343,0.14,0.875,0.0,0.8,0.0,0.0,1.0,0.0,1.0,0.0,56.68,1
A000193,0.0909,0.4125874,0.61558574,0.5,0.375,0.25,0.4,0.0,0.25,1.0,0.0,1.0,1.0,50.06,1
A000194,0.0909,0.5804196,0.38493723,0.265,0.125,1.0,0.2,0.0,0.5,1.0,0.0,0.0,0.0,53.46,1
A000195,0.1818,0.16083916,0.69246864,0.05,0.125,0.5,0.8,0.0,0.25,1.0,0.0,0.0,1.0,29.99,0
A000196,0.1818,0.53846157,0.38493723,0.685,0.375,1.0,0.2,0.3333,0.0,1.0,0.0,0.0,0.0,54.09,1
A000197,0.1818,0.6363636,0.3080544,0.615,1.0,0.0,0.4,0.6667,0.25,1.0,0.0,0.0,0.0,56.51,1
A000198,0.1818,0.30769232,0.92311716,0.31,0.125,0.5,0.0,0.3333,0.5,1.0,0.0,1.0,1.0,49.09,0
A000199,0.1818,0.67832166,0.7693515,0.26,0.625,0.0,0.2,0.0,0.5,1.0,0.0,0.0,0.0,55.09,1
A000200,0.0909,0.37762237,0.5387029,0.69,0.75,0.0,0.6,0.3333,1.0,1.0,0.0,1.0,1.0,56.83,1
A000201,0.0,0.42657343,0.38493723,0.08,0.5,0.25,0.4,0.6667,0.75,0.0,0.0,1.0,0.0,39.8,0
A000202,0.2,0.46853146,0.8462343,0.175,0.375,0.25,0.0,0.0,0.5,0.0,0.0,1.0,0.0,47.13,0
A000203,0.2,0.46853146,1.0,0.975,0.125,0.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,62.38,1
A000204,0.2,0.53846157,0.4618201,0.64,0.25,0.5,0.6,0.0,0.25,1.0,0.0,0.0,0.0,55.65,1
A000205,0.1,0.3916084,0.4618201,0.61,0.625,0.5,0.6,0.0,0.25,0.0,0.0,1.0,1.0,38.73,0
A000206,0.1,0.41958043,0.61558574,0.04,0.375,0.5,0.2,0.0,0.25,1.0,0.0,1.0,0.0,46.77,0
A000207,0.1,0.5034965,0.23064853,0.035,0.75,0.0,0.6,0.0,0.75,0.0,0.0,0.0,0.0,35.6,0
